dong_name,level,visitors
괴산읍,여유,18563.480392156864
괴산읍,보통,20843.980198019803
괴산읍,혼잡,25606.196078431374
금왕읍,여유,32714.951219512193
금왕읍,보통,35297.51219512195
금왕읍,혼잡,39975.575
남일면,여유,14583.818181818182
남일면,보통,15737.684210526315
남일면,혼잡,18448.0
내덕2동,여유,27026.780487804877
내덕2동,보통,30888.375
내덕2동,혼잡,35198.85365853659
내수읍,여유,19470.823529411766
내수읍,보통,23642.82
내수읍,혼잡,28354.333333333332
단양읍,여유,18810.60975609756
단양읍,보통,21664.35
단양읍,혼잡,33118.87804878049
덕산면,여유,2030.7142857142858
덕산면,보통,2479.25
덕산면,혼잡,4025.85
동량면,여유,6441.636363636364
동량면,보통,7886.1578947368425
동량면,혼잡,10448.55
문백면,여유,5869.0
문백면,보통,7003.2
문백면,혼잡,8755.35
문의면,여유,7471.803921568628
문의면,보통,10663.38
문의면,혼잡,17673.725490196077
보은읍,여유,18893.604938271605
보은읍,보통,21962.777777777777
보은읍,혼잡,28015.11111111111
봉양읍,여유,6266.142857142857
봉양읍,보통,7161.95
봉양읍,혼잡,11571.3
성안동,여유,34494.78048780488
성안동,보통,38988.32098765432
성안동,혼잡,46537.25925925926
속리산면,여유,3558.190476190476
속리산면,보통,4615.3
속리산면,혼잡,11095.5
수산면,여유,2526.560975609756
수산면,보통,4260.15
수산면,혼잡,8823.073170731708
수안보면,여유,8693.258064516129
수안보면,보통,10660.27868852459
수안보면,혼잡,13862.196721311475
안내면,여유,1775.7619047619048
안내면,보통,2125.0
안내면,혼잡,3539.25
앙성면,여유,7209.645161290323
앙성면,보통,8756.3
앙성면,혼잡,13280.6
엄정면,여유,4628.0
엄정면,보통,5261.4
엄정면,혼잡,6408.65
영동읍,여유,28163.867256637168
영동읍,보통,31014.75221238938
영동읍,혼잡,34937.982142857145
영서동,여유,12293.45
영서동,보통,13729.736842105263
영서동,혼잡,15645.6
영운동,여유,5249.809523809524
영운동,보통,5658.05
영운동,혼잡,6080.3
영춘면,여유,3634.3414634146343
영춘면,보통,6028.9
영춘면,혼잡,11312.780487804877
오근장동,여유,17870.666666666668
오근장동,보통,20658.15
오근장동,혼잡,22695.15
오창읍,여유,48851.92156862745
오창읍,보통,55151.18
오창읍,혼잡,60956.313725490196
옥천읍,여유,39355.739130434784
옥천읍,보통,44330.0
옥천읍,혼잡,50230.57608695652
음성읍,여유,21544.774509803923
음성읍,보통,23709.742574257427
음성읍,혼잡,26979.19801980198
의림지동,여유,12205.548387096775
의림지동,보통,14271.0
의림지동,혼잡,19675.533333333333
이원면,여유,6520.078431372549
이원면,보통,7355.588235294118
이원면,혼잡,9806.21568627451
중앙동,여유,23708.875
중앙동,보통,26821.81081081081
중앙동,혼잡,30199.38738738739
중앙탑면,여유,14781.09677419355
중앙탑면,보통,17302.333333333332
중앙탑면,혼잡,23445.612903225807
증평읍,여유,39854.990196078434
증평읍,보통,42633.44554455446
증평읍,혼잡,46208.55882352941
진천읍,여유,36540.68292682927
진천읍,보통,39318.675
진천읍,혼잡,42579.65853658537
청성면,여유,1995.142857142857
청성면,보통,2471.0
청성면,혼잡,3143.5
청풍면,여유,3625.756097560976
청풍면,보통,5958.575
청풍면,혼잡,11922.975609756097
칠금.금릉동,여유,42884.360655737706
칠금.금릉동,보통,48006.59016393442
칠금.금릉동,혼잡,54506.39344262295
탑대성동,여유,10146.380952380952
탑대성동,보통,10488.35
탑대성동,혼잡,11172.55
한수면,여유,1910.3870967741937
한수면,보통,3688.233333333333
한수면,혼잡,9553.774193548386
호암.직동,여유,25770.52380952381
호암.직동,보통,27080.095238095237
호암.직동,혼잡,30251.36842105263
화산동,여유,15696.666666666666
화산동,보통,17097.55
화산동,혼잡,18465.619047619046
